BGGId,Name,YearPublished,GameWeight,BayesAvgRating,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
256382,Disney Villainous,2018,2.4375,6.7738,2,6,50,10,0,0,0,0,1,0,0,0,0
256390,Architectura,2018,1.7143,5.63627,2,4,45,8,0,0,0,0,0,0,0,0,0
256391,Queen Bee,2020,2,5.53264,2,6,90,10,1,0,0,0,0,0,0,0,0
256397,more dude,2018,1,5.51976,3,6,5,13,0,0,0,0,0,0,0,0,0
256399,Game to Pick a Game: The Gateway Edition,2018,0,5.51402,2,4,5,5,0,0,0,0,0,0,0,0,0
256422,Warhammer Age of Sigmar (Second Edition) Core Rules,2018,3.25,5.69706,2,2,90,12,0,0,0,1,0,0,0,0,0
256438,Snow Time,2018,1.2222,5.65455,3,5,40,10,0,0,0,0,0,0,0,0,0
256442,Airship City,2018,3,5.767,3,4,120,14,0,0,0,0,0,0,0,0,0
256443,Sideshow Swap,2019,1.6667,5.53666,2,8,45,8,1,0,0,0,0,0,0,0,0
256478,Flotsam Fight,2018,1,5.65929,2,6,30,8,0,0,0,0,0,0,0,0,0
256479,TomaTomato,2018,1,5.48728,3,6,20,6,0,0,0,0,0,0,0,0,0
256480,Disastles,2018,2.8,5.52781,2,5,50,10,1,0,0,0,0,0,0,0,0
256486,Polyssimo Challenge,2018,1,5.52888,2,4,30,7,0,0,0,0,0,0,0,0,0
256487,France 1944: The Allied Crusade in Europe – Designer Signature Edition,2020,3,5.5865,1,2,240,12,0,0,0,1,0,0,0,0,0
256502,Whales Destroying The World,2019,1,5.52454,3,6,20,7,1,0,0,0,0,0,0,0,0
256509,The One Hundred Torii,2020,2.25,5.8189,1,4,60,8,1,0,0,0,0,0,0,0,0
256513,Animal Kingdoms,2020,2,5.78949,1,5,45,8,1,0,0,0,0,0,0,0,0
256526,Zaar,2018,1.7778,5.51481,1,6,90,14,0,0,0,0,0,0,0,0,0
256536,Bob Ross: Happy Little Accidents,2018,1,5.53871,3,6,15,10,0,0,0,0,0,0,0,0,0
256538,Home Alone Game,2018,2,5.60571,2,4,20,8,0,0,0,0,0,0,0,0,0
256540,The Brady Bunch Party Game,2018,2,5.49629,3,8,20,9,0,0,0,0,0,0,0,0,0
256541,Monster Crunch! The Breakfast Battle Game,2018,1.1818,5.75863,2,5,20,9,0,0,0,0,0,0,0,0,0
256568,Adventure Island,2018,2.1667,5.5993,2,5,90,10,0,0,0,0,0,0,0,0,0
256569,Castle Rampage,2018,1.4,5.54748,2,2,15,8,0,0,0,0,0,0,0,0,0
256570,Crown of Emara,2018,3.1167,6.71191,1,4,75,12,0,0,1,0,0,0,0,0,0
256572,The Walking Dead: Here's Negan – The Board Game,2018,3.3333,5.6072,1,5,90,14,0,0,0,0,0,0,0,0,0
256589,Rallyman: GT,2020,2.2386,6.52335,1,6,60,14,1,1,0,0,0,0,0,0,0
256606,Spirits of the Wild,2018,1.2885,6.45021,2,2,30,10,0,0,0,0,1,0,0,0,0
256609,Nunami,2020,2,5.52722,2,4,15,10,1,0,0,0,0,0,0,0,0
256620,5 COLORS,2017,1,5.54416,2,5,15,7,0,0,0,0,0,0,0,0,0
256621,Trainsilvania,2019,1.5,5.51702,2,4,15,6,0,0,0,0,0,0,0,0,0
256623,Realm of Sand,2018,2,5.87388,1,4,60,10,0,0,0,0,0,0,0,0,0
256626,Deus lo Vult,2020,3,5.53166,2,4,120,14,1,0,1,0,0,0,0,0,0
